model,press,compression_ratio,task,metric,value
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,tool_call,name_match,0.8889
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,tool_call,schema_valid,0.7778
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,tool_call,args_exact,0.3333
Qwen/Qwen2.5-0.5B-Instruct,none,0.0,tool_call,name_substring,1.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.25,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.25,tool_call,name_match,0.2222
Qwen/Qwen2.5-0.5B-Instruct,Random,0.25,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.25,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.25,tool_call,name_substring,0.3333
Qwen/Qwen2.5-0.5B-Instruct,Random,0.5,tool_call,json_valid,0.7778
Qwen/Qwen2.5-0.5B-Instruct,Random,0.5,tool_call,name_match,0.3333
Qwen/Qwen2.5-0.5B-Instruct,Random,0.5,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.5,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.5,tool_call,name_substring,0.5556
Qwen/Qwen2.5-0.5B-Instruct,Random,0.75,tool_call,json_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.75,tool_call,name_match,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.75,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.75,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,Random,0.75,tool_call,name_substring,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.25,tool_call,json_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.25,tool_call,name_match,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.25,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.25,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.25,tool_call,name_substring,0.3333
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.5,tool_call,json_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.5,tool_call,name_match,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.5,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.5,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.5,tool_call,name_substring,0.1111
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.75,tool_call,json_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.75,tool_call,name_match,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.75,tool_call,schema_valid,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.75,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,StreamingLLM,0.75,tool_call,name_substring,0.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.25,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.25,tool_call,name_match,0.6667
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.25,tool_call,schema_valid,0.4444
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.25,tool_call,args_exact,0.1111
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.25,tool_call,name_substring,0.6667
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,tool_call,name_match,0.5556
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,tool_call,schema_valid,0.1111
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.5,tool_call,name_substring,0.5556
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.75,tool_call,json_valid,0.8889
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.75,tool_call,name_match,0.1111
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.75,tool_call,schema_valid,0.1111
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.75,tool_call,args_exact,0.0
Qwen/Qwen2.5-0.5B-Instruct,SnapKV,0.75,tool_call,name_substring,0.1111
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.25,tool_call,json_valid,1.0
Qwen/Qwen2.5-0.5B-Instruct,Knorm,0.25,tool_call,name_match,1.0
